RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
87,"R43846","4/27/2020","Small Business Administration (SBA) Funding: Overview and Recent Trends","https://crsreports.congress.gov/product/pdf/download/R/R43846/R43846.pdf/","31","01/05/2015"
88,"IN11352","4/27/2020","Social Security Retirement Earnings Test (RET): Earnings Exemption for COVID-19-Related Work Response","https://crsreports.congress.gov/product/pdf/download/IN/IN11352/IN11352.pdf/","2","04/22/2020"
89,"R45745","4/27/2020","Transatlantic Relations: U.S. Interests and Key Issues","https://crsreports.congress.gov/product/pdf/download/R/R45745/R45745.pdf/","5","05/31/2019"
90,"R44268","4/27/2020","U.S. Agent Orange/Dioxin Assistance to Vietnam ","https://crsreports.congress.gov/product/pdf/download/R/R44268/R44268.pdf/","21","11/13/2015"
91,"RL33640","4/27/2020","U.S. Strategic Nuclear Forces: Background, Developments, and Issues","https://crsreports.congress.gov/product/pdf/download/RL/RL33640/RL33640.pdf/","62","09/13/2006"
92,"IN11360","4/24/2020","Apportionment and Redistricting Following the 2020 Census","https://crsreports.congress.gov/product/pdf/download/IN/IN11360/IN11360.pdf/","1","04/24/2020"
93,"RL33153","4/24/2020","China Naval Modernization: Implications for U.S. Navy Capabilities-Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/RL/RL33153/RL33153.pdf/","234","11/18/2005"
94,"IN11362","4/24/2020","Coronavirus-Related Suspension of Immigrant Entry","https://crsreports.congress.gov/product/pdf/download/IN/IN11362/IN11362.pdf/","2","04/27/2020"
95,"R46324","4/24/2020","COVID-19: Child Care and Development Block Grant (CCDBG) Supplemental Appropriations in the CARES Act","https://crsreports.congress.gov/product/pdf/download/R/R46324/R46324.pdf/","2","04/24/2020"
96,"IN11361","4/24/2020","COVID-19: U.S. Public Health Data and Reporting ","https://crsreports.congress.gov/product/pdf/download/IN/IN11361/IN11361.pdf/","1","04/24/2020"
97,"R46325","4/24/2020","Fourth COVID-19 Relief Package (P.L. 116-139): In Brief","https://crsreports.congress.gov/product/pdf/download/R/R46325/R46325.pdf/","2","04/25/2020"
98,"IF11518","4/24/2020","National Oceanic and Atmospheric Administration (NOAA): FY2021 Budget Request and Appropriations","https://crsreports.congress.gov/product/pdf/download/IF/IF11518/IF11518.pdf/","2","04/24/2020"
99,"IF11179","4/24/2020","Stewardship End Result Contracting: Forest Service and Bureau of Land Management","https://crsreports.congress.gov/product/pdf/download/IF/IF11179/IF11179.pdf/","5","04/15/2019"
100,"IN11322","4/24/2020","The Child Support Federal Tax Offset of CARES Act Economic Impact Payments ","https://crsreports.congress.gov/product/pdf/download/IN/IN11322/IN11322.pdf/","3","04/09/2020"
101,"IF11519","4/24/2020","The Families First Coronavirus Response Act: Federal Employee Leave","https://crsreports.congress.gov/product/pdf/download/IF/IF11519/IF11519.pdf/","1","04/24/2020"
102,"IF11520","4/24/2020","The Universal Service Fund and COVID-19: The FCC and Industry Response","https://crsreports.congress.gov/product/pdf/download/IF/IF11520/IF11520.pdf/","1","04/28/2020"
103,"RS21212","4/23/2020","Agricultural Disaster Assistance","https://crsreports.congress.gov/product/pdf/download/RS/RS21212/RS21212.pdf/","82","11/02/2004"
104,"IF11516","4/23/2020","COVID-19 Testing: Key Issues","https://crsreports.congress.gov/product/pdf/download/IF/IF11516/IF11516.pdf/","1","04/23/2020"
105,"IN11359","4/23/2020","COVID-19: Financial Relief and Assistance Resources for Consumers","https://crsreports.congress.gov/product/pdf/download/IN/IN11359/IN11359.pdf/","3","04/23/2020"
106,"IN11308","4/23/2020","COVID-19: Restrictions on Travelers at U.S. Land Borders","https://crsreports.congress.gov/product/pdf/download/IN/IN11308/IN11308.pdf/","3","04/02/2020"
107,"R46297","4/23/2020","Federal Prisoners and COVID-19: Background and Authorities to Grant Release","https://crsreports.congress.gov/product/pdf/download/R/R46297/R46297.pdf/","4","04/01/2020"
108,"IN11314","4/23/2020","Interaction of International Tax Provisions with Business Provisions in the CARES Act","https://crsreports.congress.gov/product/pdf/download/IN/IN11314/IN11314.pdf/","4","04/06/2020"
109,"R45186","4/23/2020","Issues in International Corporate Taxation: The 2017 Revision (P.L. 115-97)","https://crsreports.congress.gov/product/pdf/download/R/R45186/R45186.pdf/","12","05/01/2018"
110,"IN11356","4/23/2020","Mail Voting and COVID-19: Developments and Potential Challenges","https://crsreports.congress.gov/product/pdf/download/IN/IN11356/IN11356.pdf/","1","04/23/2020"
111,"IF10967","4/23/2020","Marine Debris: NOAA's Role","https://crsreports.congress.gov/product/pdf/download/IF/IF10967/IF10967.pdf/","7","08/31/2018"
112,"IN11358","4/23/2020","Older Children, Adult Dependents, and Eligibility for the 2020 Recovery Rebates","https://crsreports.congress.gov/product/pdf/download/IN/IN11358/IN11358.pdf/","1","04/23/2020"
113,"R46322","4/23/2020","SBA Women-Owned Small Business Federal Contracting Program","https://crsreports.congress.gov/product/pdf/download/R/R46322/R46322.pdf/","2","04/23/2020"
114,"IF11517","4/23/2020","Secretarial Waiver Authority Under the ESEA and CARES Act","https://crsreports.congress.gov/product/pdf/download/IF/IF11517/IF11517.pdf/","2","04/23/2020"
115,"IF11515","4/23/2020","U.S. Foreign Assistance: Budget Development and Execution","https://crsreports.congress.gov/product/pdf/download/IF/IF11515/IF11515.pdf/","1","04/23/2020"
116,"R44891","4/23/2020","U.S. Role in the World: Background and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44891/R44891.pdf/","50","07/13/2017"
117,"R43960","4/23/2020","Yemen: Civil War and Regional Intervention","https://crsreports.congress.gov/product/pdf/download/R/R43960/R43960.pdf/","38","03/26/2015"
118,"IN11351","4/22/2020","COVID-19 and State and Local Fiscal Conditions: Select Resources on Current Status, Impacts, and Federal Relief","https://crsreports.congress.gov/product/pdf/download/IN/IN11351/IN11351.pdf/","2","04/22/2020"
119,"IN11354","4/22/2020","Crude Oil Futures Prices Turn Negative","https://crsreports.congress.gov/product/pdf/download/IN/IN11354/IN11354.pdf/","4","04/22/2020"
120,"R43414","4/22/2020","Older Americans Act: Overview and Funding","https://crsreports.congress.gov/product/pdf/download/R/R43414/R43414.pdf/","28","03/07/2014"
121,"R46323","4/22/2020","Reauthorization of Federal Highway Programs","https://crsreports.congress.gov/product/pdf/download/R/R46323/R46323.pdf/","2","04/23/2020"
122,"IF10165","4/22/2020","South Korea: Background and U.S. Relations","https://crsreports.congress.gov/product/pdf/download/IF/IF10165/IF10165.pdf/","24","04/02/2015"
123,"R46326","4/22/2020","Stafford Act Declarations for COVID-19 FAQ","https://crsreports.congress.gov/product/pdf/download/R/R46326/R46326.pdf/","3","04/27/2020"
124,"IN11353","4/22/2020","The 2020 Renewable Fuel Standard (RFS): COVID-19 Impacts ","https://crsreports.congress.gov/product/pdf/download/IN/IN11353/IN11353.pdf/","2","04/22/2020"
125,"IF11513","4/22/2020","WTO: Ministerial Delay, COVID-19, and Ongoing Issues","https://crsreports.congress.gov/product/pdf/download/IF/IF11513/IF11513.pdf/","3","04/21/2020"
126,"RL34398","4/21/2020","Air Force KC-46A Pegasus Tanker Aircraft Program","https://crsreports.congress.gov/product/pdf/download/RL/RL34398/RL34398.pdf/","48","02/29/2008"
127,"IN11329","4/21/2020","CARES Act Assistance for Employers and Employees-The Paycheck Protection Program, Employee Retention Tax Credit, and Unemployment Insurance Benefits: Assessment of Alternatives (Part 2)","https://crsreports.congress.gov/product/pdf/download/IN/IN11329/IN11329.pdf/","2","04/13/2020"
128,"IN11324","4/21/2020","CARES Act Assistance for Employers and Employees-The Paycheck Protection Program, Employee Retention Tax Credit, and Unemployment Insurance Benefits: Overview (Part 1) ","https://crsreports.congress.gov/product/pdf/download/IN/IN11324/IN11324.pdf/","5","04/10/2020"
129,"IF11514","4/21/2020","Power of Siberia: A Natural Gas Pipeline Brings Russia and China Closer","https://crsreports.congress.gov/product/pdf/download/IF/IF11514/IF11514.pdf/","2","04/22/2020"
130,"IN11350","4/21/2020","Status of Latin America's Anti-corruption Fight amid Health and Political Challenges","https://crsreports.congress.gov/product/pdf/download/IN/IN11350/IN11350.pdf/","3","04/21/2020"
131,"IN11349","4/21/2020","The CARES Act and Required Minimum Distributions (RMDs): Options for Certain Individuals","https://crsreports.congress.gov/product/pdf/download/IN/IN11349/IN11349.pdf/","3","04/21/2020"
132,"R41303","4/21/2020","The Secure Rural Schools and Community Self-Determination Act: Background and Issues","https://crsreports.congress.gov/product/pdf/download/R/R41303/R41303.pdf/","39","06/24/2010"
133,"R46320","4/21/2020","U.S. Army Corps of Engineers: Annual Appropriations Process and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R46320/R46320.pdf/","1","04/21/2020"
134,"IN11278","4/20/2020","Bank and Credit Union Regulators' Response to COVID-19","https://crsreports.congress.gov/product/pdf/download/IN/IN11278/IN11278.pdf/","4","03/25/2020"
135,"IN11348","4/20/2020","Bank Exposure to COVID-19 Risks: Business Loans","https://crsreports.congress.gov/product/pdf/download/IN/IN11348/IN11348.pdf/","1","04/21/2020"
136,"R43424","4/20/2020","Considering Legislation on the House Floor: Common Practices in Brief","https://crsreports.congress.gov/product/pdf/download/R/R43424/R43424.pdf/","7","03/14/2014"
137,"IN11345","4/20/2020","COVID-19: Effect on Organ Donation and Transplantation","https://crsreports.congress.gov/product/pdf/download/IN/IN11345/IN11345.pdf/","1","04/20/2020"
138,"IN11253","4/20/2020","Domestic Public Health Response to COVID-19: Current Status","https://crsreports.congress.gov/product/pdf/download/IN/IN11253/IN11253.pdf/","8","03/18/2020"
139,"IN11346","4/20/2020","Federal Jury Trials and COVID-19","https://crsreports.congress.gov/product/pdf/download/IN/IN11346/IN11346.pdf/","1","04/20/2020"
140,"R44425","4/20/2020","Health Insurance Premium Tax Credits and Cost-Sharing Subsidies","https://crsreports.congress.gov/product/pdf/download/R/R44425/R44425.pdf/","14","03/24/2016"
141,"98-684","4/20/2020","Latin America and the Caribbean: Fact Sheet on Leaders and Elections","https://crsreports.congress.gov/product/pdf/download/RS/98-684/98-684.pdf/","116","01/19/2005"
142,"R46317","4/20/2020","Presidential Appointments to Full-Time Positions on Regulatory and Other Collegial Boards and Commissions, 115th Congress","https://crsreports.congress.gov/product/pdf/download/R/R46317/R46317.pdf/","2","04/20/2020"
143,"R45242","4/20/2020","Private Flood Insurance and the National Flood Insurance Program","https://crsreports.congress.gov/product/pdf/download/R/R45242/R45242.pdf/","10","06/28/2018"
144,"R45327","4/20/2020","Public Safety Officers' Benefits (PSOB) and Public Safety Officers' Educational Assistance (PSOEA) Programs","https://crsreports.congress.gov/product/pdf/download/R/R45327/R45327.pdf/","6","10/02/2018"
145,"IF11346","4/20/2020","Section 301 of the Trade Act of 1974","https://crsreports.congress.gov/product/pdf/download/IF/IF11346/IF11346.pdf/","5","10/30/2019"
146,"IF11512","4/20/2020","The Hatch Act: A Primer","https://crsreports.congress.gov/product/pdf/download/IF/IF11512/IF11512.pdf/","1","04/21/2020"
147,"RL33608","4/20/2020","The United Nations Human Rights Council: Background and Policy Issues","https://crsreports.congress.gov/product/pdf/download/RL/RL33608/RL33608.pdf/","55","08/16/2006"
148,"IN11347","4/20/2020","Treatment of COVID-19: Hydroxychloroquine and Chloroquine ","https://crsreports.congress.gov/product/pdf/download/IN/IN11347/IN11347.pdf/","1","04/20/2020"
149,"IF11189","4/20/2020","U.S. Trade: Recent Trends and Developments","https://crsreports.congress.gov/product/pdf/download/IF/IF11189/IF11189.pdf/","4","04/25/2019"
150,"R46315","4/17/2020","Congressional Oversight Provisions in the Coronavirus Aid, Relief, and Economic Security (CARES) Act (P.L. 116-136)","https://crsreports.congress.gov/product/pdf/download/R/R46315/R46315.pdf/","2","04/17/2020"
151,"IN11282","4/17/2020","COVID-19 and Direct Payments to Individuals: Summary of the 2020 Recovery Rebates/Economic Impact Payments in the CARES Act (P.L. 116-136)","https://crsreports.congress.gov/product/pdf/download/IN/IN11282/IN11282.pdf/","11","03/26/2020"
152,"IN11317","4/17/2020","COVID-19 and Short-Run Federal Deficits","https://crsreports.congress.gov/product/pdf/download/IN/IN11317/IN11317.pdf/","2","04/07/2020"
153,"IF11510","4/17/2020","Defense Primer: Department of Defense Civilian Employees","https://crsreports.congress.gov/product/pdf/download/IF/IF11510/IF11510.pdf/","2","04/17/2020"
